Category	Key	Round 1 Wins	Round 1 Losses	Round 1 Sum	Round 2 Wins	Round 2 Losses	Round 2 Sum	Round 3 Wins	Round 3 Losses	Round 3 Sum
Printings Artists	Stuart Beel	0	2	56.44	0	0	0.00	0	0	0.00
Printings Artists	Jiaming	0	4	101.91	0	0	0.00	0	0	0.00
Printings Artists	Ron Walotsky	2	2	218.01	1	1	100.89	1	0	76.34
Printings Artists	Douglas Shuler	44	75	5244.74	27	17	2338.79	13	14	1449.39
Printings Artists	Matt Thompson	10	13	990.16	4	6	480.11	1	3	161.47
Printings Artists	Karla Ortiz	11	6	1028.43	9	2	787.11	5	4	482.62
Printings Artists	Liu Shangying	1	2	132.87	0	1	22.39	0	0	0.00
Printings Artists	Johann Bodin	40	33	3626.70	22	18	2095.28	9	13	1064.69
Printings Artists	John Severin Brassell	13	9	1148.50	11	2	790.93	5	6	506.44
Printings Artists	NéNé Thomas & Phillip Mosness	0	1	48.24	0	0	0.00	0	0	0.00
Printings Artists	Mark Evans	1	1	117.84	0	1	40.76	0	0	0.00
Printings Artists	Ioan Dumitrescu	1	0	63.01	0	1	45.29	0	0	0.00
Printings Artists	Trevor Hairsine	20	6	1576.03	9	11	969.02	3	6	386.04
Printings Artists	Inoue Junichi	0	3	77.85	0	0	0.00	0	0	0.00
Printings Artists	Luca Zontini	34	29	3100.52	13	21	1351.17	7	6	664.35
Printings Artists	Tianhua X	4	0	272.61	2	2	162.18	1	1	116.57
Printings Artists	Mike Kerr	4	1	326.67	1	3	127.89	1	0	55.72
Printings Artists	Shishizaru	13	11	1160.28	6	7	615.97	2	4	269.64
Printings Artists	Paolo Parente & Brian Snõddy	1	0	63.07	0	1	37.73	0	0	0.00
Printings Artists	Kaja Foglio	27	33	2842.10	16	12	1620.17	12	4	987.56
Printings Artists	Tom Kyffin	5	11	590.90	3	2	260.36	2	1	161.52
Printings Artists	Sam Wood	10	8	933.67	4	6	480.31	3	1	222.41
Printings Artists	Chris Rallis	20	19	2014.69	9	11	937.09	1	8	226.99
Printings Artists	Greg Spalenka	3	2	285.58	0	3	96.04	0	0	0.00
Printings Artists	John Howe	3	9	477.30	2	1	188.20	0	2	71.21
Printings Artists	Peter Mohrbacher	33	14	3025.28	19	14	1947.37	11	8	1083.63
Printings Artists	Aleksi Briclot	57	19	5218.74	46	11	3900.53	34	12	2984.58
Printings Artists	Bob Eggleton	12	6	1082.39	7	5	624.49	2	5	302.56
Printings Artists	Mike Kimble	4	15	593.92	0	4	91.54	0	0	0.00
Printings Artists	Whit Brachna	8	1	594.46	4	4	379.65	3	1	224.38
Printings Artists	Brandon Kitkouski	22	11	1862.94	9	13	872.60	6	3	551.90
Printings Artists	Terry Springer	3	0	249.76	3	0	216.90	3	0	245.30
Printings Artists	Ariel Olivetti	2	0	163.70	1	1	112.10	1	0	76.63
Printings Artists	G. Darrow & I. Rabarot	2	4	265.73	1	1	119.80	1	0	79.79
Printings Artists	Fred Rahmqvist	1	0	78.29	0	1	21.05	0	0	0.00
Printings Artists	Darek Zabrocki	7	4	582.24	3	4	383.13	0	3	95.15
Printings Artists	Victor Adame Minguez	14	7	1236.31	10	4	865.64	7	3	489.15
Printings Artists	Goran Josic	5	5	452.93	3	2	286.41	3	0	196.73
Printings Artists	Qin Jun	1	0	81.81	1	0	74.58	1	0	84.45
Printings Artists	Robh Ruppel	1	4	174.07	0	1	16.47	0	0	0.00
Printings Artists	Liz Danforth	9	22	1244.35	4	5	411.75	2	2	193.78
Printings Artists	Paul Lee	3	0	217.91	1	2	111.64	1	0	67.87
Printings Artists	Joel Thomas	5	7	502.10	2	3	197.51	1	1	124.85
Printings Artists	Jack Wei	2	1	149.59	1	1	118.23	1	0	51.29
Printings Artists	Kerstin Kaman	0	3	106.83	0	0	0.00	0	0	0.00
Printings Artists	Hiro Izawa	2	0	164.33	1	1	110.62	0	1	36.07
Printings Artists	Joshua Hagler	3	4	306.37	0	3	68.33	0	0	0.00
Printings Artists	Justin Norman	1	1	87.48	0	1	20.14	0	0	0.00
Printings Artists	Mark Winters	18	18	1859.23	10	8	930.13	4	6	498.11
Printings Artists	Colin MacNeil	6	6	569.72	2	4	259.91	2	0	166.17
Printings Artists	Rogério Vilela	0	2	20.78	0	0	0.00	0	0	0.00
Printings Artists	Doug Chaffee	21	26	2102.78	9	12	917.03	3	6	444.93
Printings Artists	Wang Chuxiong	1	0	83.02	1	0	86.27	1	0	84.66
Printings Artists	Iain McCaig	3	6	403.56	2	1	164.93	1	1	88.31
Printings Artists	Zoltan Boros & Gabor Szikszai	53	19	4278.92	31	22	2973.15	19	12	1689.30
Printings Artists	William Donohoe	2	1	145.65	1	1	77.78	0	1	41.44
Printings Artists	Chippy & Matthew Wilson	0	3	104.23	0	0	0.00	0	0	0.00
Printings Artists	Dameon Willich	10	16	1155.10	3	7	499.54	2	1	197.77
Printings Artists	Ai Desheng	3	3	260.95	0	3	88.57	0	0	0.00
Printings Artists	Parente & Brian Snõddy	1	0	63.07	0	1	37.73	0	0	0.00
Printings Artists	Jen Page	1	0	64.63	1	0	55.78	0	1	30.05
Printings Artists	Ron Spears	57	47	5401.70	30	27	3064.07	21	9	1805.79
Printings Artists	Hong Yan	0	3	72.62	0	0	0.00	0	0	0.00
Printings Artists	Nottsuo	8	5	743.89	3	6	444.11	2	1	184.01
